game_id,value,prob,condition,n
229065,6,0.05,baseline,100.0
229065,7,0.05,baseline,100.0
229065,8,0.1,baseline,100.0
229065,9,0.02,baseline,100.0
229065,10,0.0,baseline,100.0
229065,11,0.0,baseline,100.0
229065,12,0.0,baseline,100.0
229065,13,0.01,baseline,100.0
229065,14,0.03,baseline,100.0
229065,15,0.0,baseline,100.0
229065,16,0.0,baseline,100.0
229319,2,0.38,baseline,100.0
229319,3,0.09,baseline,100.0
229319,4,0.05,baseline,100.0
229319,5,0.09,baseline,100.0
229319,6,0.12,baseline,100.0
229319,7,0.18,baseline,100.0
229319,8,0.04,baseline,100.0
229319,9,0.03,baseline,100.0
229319,10,0.02,baseline,100.0
229319,11,0.0,baseline,100.0
229319,12,0.0,baseline,100.0
229319,13,0.0,baseline,100.0
229319,14,0.0,baseline,100.0
229319,15,0.0,baseline,100.0
229319,16,0.0,baseline,100.0
235115,2,0.0,baseline,100.0
235115,3,0.0,baseline,100.0
235115,4,0.0,baseline,100.0
235115,5,0.01,baseline,100.0
235115,6,0.03,baseline,100.0
235115,7,0.17,baseline,100.0
235115,8,0.44,baseline,100.0
235115,9,0.33,baseline,100.0
235115,10,0.02,baseline,100.0
235115,11,0.0,baseline,100.0
235115,12,0.0,baseline,100.0
235115,13,0.0,baseline,100.0
235115,14,0.0,baseline,100.0
235115,15,0.0,baseline,100.0
235115,16,0.0,baseline,100.0
235115,17,0.0,baseline,100.0
235290,2,0.11,baseline,100.0
235290,3,0.03,baseline,100.0
235290,4,0.0,baseline,100.0
235290,5,0.01,baseline,100.0
235290,6,0.0,baseline,100.0
235290,7,0.0,baseline,100.0
235290,8,0.06,baseline,100.0
235290,9,0.27,baseline,100.0
235290,10,0.05,baseline,100.0
235290,11,0.01,baseline,100.0
235290,12,0.03,baseline,100.0
235290,13,0.0,baseline,100.0
235290,14,0.0,baseline,100.0
235290,15,0.02,baseline,100.0
235290,16,0.22,baseline,100.0
235290,17,0.19,baseline,100.0
241127,2,0.0,baseline,100.0
241127,3,0.0,baseline,100.0
241127,4,0.0,baseline,100.0
241127,5,0.0,baseline,100.0
241127,6,0.0,baseline,100.0
241127,7,0.0,baseline,100.0
241127,8,0.0,baseline,100.0
241127,9,0.12,baseline,100.0
241127,10,0.25,baseline,100.0
241127,11,0.15,baseline,100.0
241127,12,0.05,baseline,100.0
241127,13,0.04,baseline,100.0
241127,14,0.05,baseline,100.0
241127,15,0.05,baseline,100.0
241127,16,0.04,baseline,100.0
241127,17,0.05,baseline,100.0
241127,18,0.05,baseline,100.0
241127,19,0.15,baseline,100.0
268516,3,0.48,baseline,100.0
268516,4,0.06,baseline,100.0
268516,5,0.02,baseline,100.0
268516,6,0.1,baseline,100.0
268516,7,0.12,baseline,100.0
268516,8,0.03,baseline,100.0
268516,9,0.01,baseline,100.0
268516,10,0.18,baseline,100.0
287358,3,0.0,baseline,100.0
287358,4,0.0,baseline,100.0
287358,5,0.0,baseline,100.0
287358,6,0.01,baseline,100.0
287358,7,0.04,baseline,100.0
287358,8,0.07,baseline,100.0
287358,9,0.07,baseline,100.0
287358,10,0.17,baseline,100.0
287358,11,0.09,baseline,100.0
287358,12,0.04,baseline,100.0
287358,13,0.11,baseline,100.0
287358,14,0.4,baseline,100.0
296499,3,0.22,baseline,100.0
296499,4,0.04,baseline,100.0
296499,5,0.13,baseline,100.0
296499,6,0.01,baseline,100.0
296499,7,0.01,baseline,100.0
296499,8,0.0,baseline,100.0
296499,9,0.0,baseline,100.0
296499,10,0.01,baseline,100.0
296499,11,0.0,baseline,100.0
296499,12,0.01,baseline,100.0
296499,13,0.08,baseline,100.0
296499,14,0.02,baseline,100.0
296499,15,0.27,baseline,100.0
296499,16,0.2,baseline,100.0
300962,3,0.0,baseline,100.0
300962,4,0.0,baseline,100.0
300962,5,0.03,baseline,100.0
300962,6,0.0,baseline,100.0
300962,7,0.04,baseline,100.0
300962,8,0.01,baseline,100.0
300962,9,0.09,baseline,100.0
300962,10,0.23,baseline,100.0
300962,11,0.14,baseline,100.0
300962,12,0.08,baseline,100.0
300962,13,0.06,baseline,100.0
300962,14,0.06,baseline,100.0
300962,15,0.16,baseline,100.0
300962,16,0.05,baseline,100.0
300962,17,0.05,baseline,100.0
302701,3,0.0,baseline,100.0
302701,4,0.0,baseline,100.0
302701,5,0.02,baseline,100.0
302701,6,0.14,baseline,100.0
302701,7,0.73,baseline,100.0
302701,8,0.06,baseline,100.0
302701,9,0.05,baseline,100.0
302701,10,0.0,baseline,100.0
302701,11,0.0,baseline,100.0
302701,12,0.0,baseline,100.0
302701,13,0.0,baseline,100.0
302701,14,0.0,baseline,100.0
302701,15,0.0,baseline,100.0
302701,16,0.0,baseline,100.0
302701,17,0.0,baseline,100.0
318986,3,0.41,baseline,100.0
318986,4,0.05,baseline,100.0
318986,5,0.0,baseline,100.0
318986,6,0.0,baseline,100.0
318986,7,0.0,baseline,100.0
318986,8,0.0,baseline,100.0
318986,9,0.0,baseline,100.0
318986,10,0.01,baseline,100.0
318986,11,0.02,baseline,100.0
318986,12,0.0,baseline,100.0
318986,13,0.01,baseline,100.0
318986,14,0.0,baseline,100.0
318986,15,0.0,baseline,100.0
318986,16,0.01,baseline,100.0
318986,17,0.01,baseline,100.0
318986,18,0.02,baseline,100.0
318986,19,0.03,baseline,100.0
318986,20,0.43,baseline,100.0
320385,3,0.012658227848101266,baseline,79.0
320385,4,0.0379746835443038,baseline,79.0
320385,5,0.012658227848101266,baseline,79.0
320385,6,0.06329113924050633,baseline,79.0
320385,7,0.05063291139240506,baseline,79.0
320385,8,0.08860759493670886,baseline,79.0
320385,9,0.31645569620253167,baseline,79.0
320385,10,0.31645569620253167,baseline,79.0
320385,11,0.0379746835443038,baseline,79.0
320385,12,0.0,baseline,79.0
320385,13,0.0,baseline,79.0
320385,14,0.012658227848101266,baseline,79.0
320385,15,0.0,baseline,79.0
320385,16,0.012658227848101266,baseline,79.0
320385,17,0.012658227848101266,baseline,79.0
320385,18,0.012658227848101266,baseline,79.0
320385,19,0.012658227848101266,baseline,79.0
320385,20,0.0,baseline,79.0
330814,4,0.01,baseline,100.0
330814,5,0.04,baseline,100.0
330814,6,0.2,baseline,100.0
330814,7,0.28,baseline,100.0
330814,8,0.2,baseline,100.0
330814,9,0.27,baseline,100.0
332459,4,0.13,baseline,100.0
332459,5,0.13,baseline,100.0
332459,6,0.22,baseline,100.0
332459,7,0.37,baseline,100.0
332459,8,0.13,baseline,100.0
332459,9,0.02,baseline,100.0
334971,4,0.06,baseline,100.0
334971,5,0.11,baseline,100.0
334971,6,0.09,baseline,100.0
334971,7,0.61,baseline,100.0
334971,8,0.11,baseline,100.0
334971,9,0.02,baseline,100.0
336625,4,0.15,baseline,100.0
336625,5,0.06,baseline,100.0
336625,6,0.14,baseline,100.0
336625,7,0.13,baseline,100.0
336625,8,0.09,baseline,100.0
336625,9,0.04,baseline,100.0
336625,10,0.39,baseline,100.0
339271,4,0.2,baseline,100.0
339271,5,0.0,baseline,100.0
339271,6,0.0,baseline,100.0
339271,7,0.21,baseline,100.0
339271,8,0.02,baseline,100.0
339271,9,0.0,baseline,100.0
339271,10,0.57,baseline,100.0
348971,4,0.0,baseline,100.0
348971,5,0.04,baseline,100.0
348971,6,0.06,baseline,100.0
348971,7,0.07,baseline,100.0
348971,8,0.65,baseline,100.0
348971,9,0.1,baseline,100.0
348971,10,0.05,baseline,100.0
348971,11,0.02,baseline,100.0
348971,12,0.01,baseline,100.0
349578,4,0.01,baseline,100.0
349578,5,0.0,baseline,100.0
349578,6,0.03,baseline,100.0
349578,7,0.2,baseline,100.0
349578,8,0.64,baseline,100.0
349578,9,0.04,baseline,100.0
349578,10,0.03,baseline,100.0
349578,11,0.0,baseline,100.0
349578,12,0.05,baseline,100.0
349880,4,0.19,baseline,100.0
349880,5,0.02,baseline,100.0
349880,6,0.08,baseline,100.0
349880,7,0.11,baseline,100.0
349880,8,0.32,baseline,100.0
349880,9,0.05,baseline,100.0
349880,10,0.07,baseline,100.0
349880,11,0.02,baseline,100.0
349880,12,0.14,baseline,100.0
350316,4,0.0,baseline,100.0
350316,5,0.0,baseline,100.0
350316,6,0.08,baseline,100.0
350316,7,0.04,baseline,100.0
350316,8,0.67,baseline,100.0
350316,9,0.1,baseline,100.0
350316,10,0.09,baseline,100.0
350316,11,0.02,baseline,100.0
350316,12,0.0,baseline,100.0
354507,4,0.0,baseline,100.0
354507,5,0.04,baseline,100.0
354507,6,0.05,baseline,100.0
354507,7,0.02,baseline,100.0
354507,8,0.0,baseline,100.0
354507,9,0.04,baseline,100.0
354507,10,0.0,baseline,100.0
354507,11,0.84,baseline,100.0
354507,12,0.01,baseline,100.0
354507,13,0.0,baseline,100.0
355555,4,0.21,baseline,100.0
355555,5,0.05,baseline,100.0
355555,6,0.02,baseline,100.0
355555,7,0.05,baseline,100.0
355555,8,0.03,baseline,100.0
355555,9,0.1,baseline,100.0
355555,10,0.04,baseline,100.0
355555,11,0.04,baseline,100.0
355555,12,0.42,baseline,100.0
355555,13,0.04,baseline,100.0
361577,4,0.64,baseline,100.0
361577,5,0.07,baseline,100.0
361577,6,0.15,baseline,100.0
361577,7,0.06,baseline,100.0
361577,8,0.04,baseline,100.0
361577,9,0.0,baseline,100.0
361577,10,0.03,baseline,100.0
361577,11,0.01,baseline,100.0
361577,12,0.0,baseline,100.0
361577,13,0.0,baseline,100.0
361577,14,0.0,baseline,100.0
361577,15,0.0,baseline,100.0
366250,4,0.01,baseline,100.0
366250,5,0.02,baseline,100.0
366250,6,0.01,baseline,100.0
366250,7,0.02,baseline,100.0
366250,8,0.08,baseline,100.0
366250,9,0.04,baseline,100.0
366250,10,0.51,baseline,100.0
366250,11,0.07,baseline,100.0
366250,12,0.16,baseline,100.0
366250,13,0.02,baseline,100.0
366250,14,0.02,baseline,100.0
366250,15,0.03,baseline,100.0
366250,16,0.01,baseline,100.0
371368,4,0.78,baseline,100.0
371368,5,0.01,baseline,100.0
371368,6,0.0,baseline,100.0
371368,7,0.01,baseline,100.0
371368,8,0.01,baseline,100.0
371368,9,0.04,baseline,100.0
371368,10,0.01,baseline,100.0
371368,11,0.01,baseline,100.0
371368,12,0.01,baseline,100.0
371368,13,0.02,baseline,100.0
371368,14,0.0,baseline,100.0
371368,15,0.01,baseline,100.0
371368,16,0.0,baseline,100.0
371368,17,0.09,baseline,100.0
378026,4,0.0,baseline,100.0
378026,5,0.02,baseline,100.0
378026,6,0.05,baseline,100.0
378026,7,0.05,baseline,100.0
378026,8,0.09,baseline,100.0
378026,9,0.08,baseline,100.0
378026,10,0.13,baseline,100.0
378026,11,0.16,baseline,100.0
378026,12,0.07,baseline,100.0
378026,13,0.09,baseline,100.0
378026,14,0.03,baseline,100.0
378026,15,0.07,baseline,100.0
378026,16,0.09,baseline,100.0
378026,17,0.05,baseline,100.0
378026,18,0.02,baseline,100.0
384239,4,0.04,baseline,100.0
384239,5,0.0,baseline,100.0
384239,6,0.0,baseline,100.0
384239,7,0.02,baseline,100.0
384239,8,0.04,baseline,100.0
384239,9,0.11,baseline,100.0
384239,10,0.11,baseline,100.0
384239,11,0.33,baseline,100.0
384239,12,0.17,baseline,100.0
384239,13,0.04,baseline,100.0
384239,14,0.01,baseline,100.0
384239,15,0.03,baseline,100.0
384239,16,0.02,baseline,100.0
384239,17,0.01,baseline,100.0
384239,18,0.02,baseline,100.0
384239,19,0.05,baseline,100.0
394751,4,0.46,baseline,100.0
394751,5,0.03,baseline,100.0
394751,6,0.02,baseline,100.0
394751,7,0.0,baseline,100.0
394751,8,0.0,baseline,100.0
394751,9,0.01,baseline,100.0
394751,10,0.05,baseline,100.0
394751,11,0.03,baseline,100.0
394751,12,0.08,baseline,100.0
394751,13,0.04,baseline,100.0
394751,14,0.01,baseline,100.0
394751,15,0.03,baseline,100.0
394751,16,0.0,baseline,100.0
394751,17,0.04,baseline,100.0
394751,18,0.02,baseline,100.0
394751,19,0.01,baseline,100.0
394751,20,0.05,baseline,100.0
394751,21,0.12,baseline,100.0
395268,4,0.03,baseline,100.0
395268,5,0.0,baseline,100.0
395268,6,0.0,baseline,100.0
395268,7,0.02,baseline,100.0
395268,8,0.03,baseline,100.0
395268,9,0.02,baseline,100.0
395268,10,0.23,baseline,100.0
395268,11,0.06,baseline,100.0
395268,12,0.15,baseline,100.0
395268,13,0.2,baseline,100.0
395268,14,0.02,baseline,100.0
395268,15,0.02,baseline,100.0
395268,16,0.02,baseline,100.0
395268,17,0.07,baseline,100.0
395268,18,0.03,baseline,100.0
395268,19,0.02,baseline,100.0
395268,20,0.01,baseline,100.0
395268,21,0.07,baseline,100.0
406654,5,0.0,baseline,100.0
406654,6,0.18,baseline,100.0
406654,7,0.25,baseline,100.0
406654,8,0.44,baseline,100.0
406654,9,0.08,baseline,100.0
406654,10,0.05,baseline,100.0
412389,5,0.05,baseline,100.0
412389,6,0.06,baseline,100.0
412389,7,0.01,baseline,100.0
412389,8,0.01,baseline,100.0
412389,9,0.0,baseline,100.0
412389,10,0.49,baseline,100.0
412389,11,0.38,baseline,100.0
418569,5,0.12,baseline,100.0
418569,6,0.0,baseline,100.0
418569,7,0.19,baseline,100.0
418569,8,0.01,baseline,100.0
418569,9,0.06,baseline,100.0
418569,10,0.0,baseline,100.0
418569,11,0.32,baseline,100.0
418569,12,0.3,baseline,100.0
419706,5,0.03,baseline,100.0
419706,6,0.18,baseline,100.0
419706,7,0.16,baseline,100.0
419706,8,0.18,baseline,100.0
419706,9,0.1,baseline,100.0
419706,10,0.12,baseline,100.0
419706,11,0.19,baseline,100.0
419706,12,0.04,baseline,100.0
427035,5,0.17346938775510204,baseline,98.0
427035,6,0.1326530612244898,baseline,98.0
427035,7,0.23469387755102042,baseline,98.0
427035,8,0.04081632653061224,baseline,98.0
427035,9,0.3163265306122449,baseline,98.0
427035,10,0.10204081632653061,baseline,98.0
427035,11,0.0,baseline,98.0
427035,12,0.0,baseline,98.0
427035,13,0.0,baseline,98.0
427035,14,0.0,baseline,98.0
427770,5,0.0,baseline,100.0
427770,6,0.0,baseline,100.0
427770,7,0.01,baseline,100.0
427770,8,0.05,baseline,100.0
427770,9,0.37,baseline,100.0
427770,10,0.3,baseline,100.0
427770,11,0.06,baseline,100.0
427770,12,0.04,baseline,100.0
427770,13,0.01,baseline,100.0
427770,14,0.16,baseline,100.0
437416,5,0.0,baseline,100.0
437416,6,0.02,baseline,100.0
437416,7,0.08,baseline,100.0
437416,8,0.06,baseline,100.0
437416,9,0.06,baseline,100.0
437416,10,0.26,baseline,100.0
437416,11,0.28,baseline,100.0
437416,12,0.14,baseline,100.0
437416,13,0.03,baseline,100.0
437416,14,0.02,baseline,100.0
437416,15,0.05,baseline,100.0
437416,16,0.0,baseline,100.0
442663,5,0.9,baseline,100.0
442663,6,0.01,baseline,100.0
442663,7,0.01,baseline,100.0
442663,8,0.0,baseline,100.0
442663,9,0.0,baseline,100.0
442663,10,0.0,baseline,100.0
442663,11,0.02,baseline,100.0
442663,12,0.0,baseline,100.0
442663,13,0.01,baseline,100.0
442663,14,0.0,baseline,100.0
442663,15,0.0,baseline,100.0
442663,16,0.0,baseline,100.0
442663,17,0.05,baseline,100.0
451845,5,0.24210526315789474,baseline,95.0
451845,6,0.042105263157894736,baseline,95.0
451845,7,0.12631578947368421,baseline,95.0
451845,8,0.17894736842105263,baseline,95.0
451845,9,0.1368421052631579,baseline,95.0
451845,10,0.09473684210526316,baseline,95.0
451845,11,0.042105263157894736,baseline,95.0
451845,12,0.0,baseline,95.0
451845,13,0.010526315789473684,baseline,95.0
451845,14,0.031578947368421054,baseline,95.0
451845,15,0.021052631578947368,baseline,95.0
451845,16,0.06315789473684211,baseline,95.0
451845,17,0.010526315789473684,baseline,95.0
451845,18,0.0,baseline,95.0
451845,19,0.0,baseline,95.0
461442,5,0.01,baseline,100.0
461442,6,0.17,baseline,100.0
461442,7,0.03,baseline,100.0
461442,8,0.04,baseline,100.0
461442,9,0.04,baseline,100.0
461442,10,0.06,baseline,100.0
461442,11,0.01,baseline,100.0
461442,12,0.05,baseline,100.0
461442,13,0.05,baseline,100.0
461442,14,0.01,baseline,100.0
461442,15,0.07,baseline,100.0
461442,16,0.07,baseline,100.0
461442,17,0.08,baseline,100.0
461442,18,0.07,baseline,100.0
461442,19,0.04,baseline,100.0
461442,20,0.15,baseline,100.0
461442,21,0.05,baseline,100.0
483030,6,0.91,baseline,100.0
483030,7,0.04,baseline,100.0
483030,8,0.02,baseline,100.0
483030,9,0.01,baseline,100.0
483030,10,0.0,baseline,100.0
483030,11,0.02,baseline,100.0
494383,6,0.96,baseline,100.0
494383,7,0.04,baseline,100.0
494383,8,0.0,baseline,100.0
494383,9,0.0,baseline,100.0
494383,10,0.0,baseline,100.0
494383,11,0.0,baseline,100.0
494383,12,0.0,baseline,100.0
494383,13,0.0,baseline,100.0
510846,6,0.0,baseline,100.0
510846,7,0.0,baseline,100.0
510846,8,0.01,baseline,100.0
510846,9,0.2,baseline,100.0
510846,10,0.25,baseline,100.0
510846,11,0.13,baseline,100.0
510846,12,0.14,baseline,100.0
510846,13,0.22,baseline,100.0
510846,14,0.03,baseline,100.0
510846,15,0.02,baseline,100.0
510846,16,0.0,baseline,100.0
512067,6,0.66,baseline,100.0
512067,7,0.11,baseline,100.0
512067,8,0.08,baseline,100.0
512067,9,0.08,baseline,100.0
512067,10,0.05,baseline,100.0
512067,11,0.01,baseline,100.0
512067,12,0.0,baseline,100.0
512067,13,0.0,baseline,100.0
512067,14,0.0,baseline,100.0
512067,15,0.01,baseline,100.0
512067,16,0.0,baseline,100.0
512067,17,0.0,baseline,100.0
516360,6,0.0,baseline,100.0
516360,7,0.02,baseline,100.0
516360,8,0.15,baseline,100.0
516360,9,0.11,baseline,100.0
516360,10,0.09,baseline,100.0
516360,11,0.01,baseline,100.0
516360,12,0.14,baseline,100.0
516360,13,0.01,baseline,100.0
516360,14,0.01,baseline,100.0
516360,15,0.0,baseline,100.0
516360,16,0.08,baseline,100.0
516360,17,0.14,baseline,100.0
516360,18,0.24,baseline,100.0
528770,6,0.0,baseline,100.0
528770,7,0.01,baseline,100.0
528770,8,0.2,baseline,100.0
528770,9,0.15,baseline,100.0
528770,10,0.08,baseline,100.0
528770,11,0.05,baseline,100.0
528770,12,0.27,baseline,100.0
528770,13,0.04,baseline,100.0
528770,14,0.07,baseline,100.0
528770,15,0.01,baseline,100.0
528770,16,0.02,baseline,100.0
528770,17,0.02,baseline,100.0
528770,18,0.05,baseline,100.0
528770,19,0.01,baseline,100.0
528770,20,0.02,baseline,100.0
537863,6,0.010101010101010102,baseline,99.0
537863,7,0.0,baseline,99.0
537863,8,0.0,baseline,99.0
537863,9,0.0,baseline,99.0
537863,10,0.04040404040404041,baseline,99.0
537863,11,0.030303030303030304,baseline,99.0
537863,12,0.020202020202020204,baseline,99.0
537863,13,0.04040404040404041,baseline,99.0
537863,14,0.030303030303030304,baseline,99.0
537863,15,0.020202020202020204,baseline,99.0
537863,16,0.09090909090909091,baseline,99.0
537863,17,0.020202020202020204,baseline,99.0
537863,18,0.010101010101010102,baseline,99.0
537863,19,0.020202020202020204,baseline,99.0
537863,20,0.0,baseline,99.0
537863,21,0.010101010101010102,baseline,99.0
537863,22,0.6565656565656566,baseline,99.0
540585,6,0.92,baseline,100.0
540585,7,0.01,baseline,100.0
540585,8,0.03,baseline,100.0
540585,9,0.0,baseline,100.0
540585,10,0.02,baseline,100.0
540585,11,0.0,baseline,100.0
540585,12,0.0,baseline,100.0
540585,13,0.0,baseline,100.0
540585,14,0.01,baseline,100.0
540585,15,0.0,baseline,100.0
540585,16,0.0,baseline,100.0
540585,17,0.0,baseline,100.0
540585,18,0.0,baseline,100.0
540585,19,0.0,baseline,100.0
540585,20,0.01,baseline,100.0
540585,21,0.0,baseline,100.0
540585,22,0.0,baseline,100.0
540737,6,0.2,baseline,100.0
540737,7,0.04,baseline,100.0
540737,8,0.03,baseline,100.0
540737,9,0.06,baseline,100.0
540737,10,0.05,baseline,100.0
540737,11,0.06,baseline,100.0
540737,12,0.01,baseline,100.0
540737,13,0.04,baseline,100.0
540737,14,0.02,baseline,100.0
540737,15,0.09,baseline,100.0
540737,16,0.01,baseline,100.0
540737,17,0.09,baseline,100.0
540737,18,0.07,baseline,100.0
540737,19,0.03,baseline,100.0
540737,20,0.0,baseline,100.0
540737,21,0.04,baseline,100.0
540737,22,0.16,baseline,100.0
542893,6,0.010101010101010102,baseline,99.0
542893,7,0.0,baseline,99.0
542893,8,0.020202020202020204,baseline,99.0
542893,9,0.020202020202020204,baseline,99.0
542893,10,0.030303030303030304,baseline,99.0
542893,11,0.030303030303030304,baseline,99.0
542893,12,0.010101010101010102,baseline,99.0
542893,13,0.010101010101010102,baseline,99.0
542893,14,0.09090909090909091,baseline,99.0
542893,15,0.0707070707070707,baseline,99.0
542893,16,0.06060606060606061,baseline,99.0
542893,17,0.0707070707070707,baseline,99.0
542893,18,0.020202020202020204,baseline,99.0
542893,19,0.010101010101010102,baseline,99.0
542893,20,0.030303030303030304,baseline,99.0
542893,21,0.020202020202020204,baseline,99.0
542893,22,0.010101010101010102,baseline,99.0
542893,23,0.48484848484848486,baseline,99.0
545599,6,0.77,baseline,100.0
545599,7,0.09,baseline,100.0
545599,8,0.02,baseline,100.0
545599,9,0.06,baseline,100.0
545599,10,0.03,baseline,100.0
545599,11,0.01,baseline,100.0
545599,12,0.01,baseline,100.0
