"response","game_id","PID","gap","lower_bound","num_choices","upper_bound","bonus_size","bonus_rule","points_rule"
24,625415,"6737e1bf889b60aa5f9ec0be",2,7,19,25,15,"gap_absolute","normal_plus_one"
26,979758,"6474a3bea5c73f10d2742769",3,12,15,26,8,"equal","normal_minus_one"
25,911714,"66735e86343dec85410151d0",2,11,16,26,16,"sum_odd","normal_minus_two"
6,106341,"606318c702e8ec02ee2761d0",1,1,6,6,6,"gap_lower","two_less_max_costless"
10,320385,"6692dd53ec527d60a87c1c82",3,3,18,20,18,"sum_upper","two_less_max_costless"
19,892859,"674780197d2f877d208e64bf",4,11,13,23,2,"gap_absolute","normal_plus_one"
25,1044236,"63127690860023ab6b50a0b2",1,13,13,25,5,"sum_odd","normal_minus_two"
9,706925,"5bccf3ad1662020001fe7bbe",3,9,5,13,19,"coordinate_low","normal_plus_one"
25,1521723,"6682c4fcefd32e38eb8197b2",2,19,18,36,9,"more_than","two_less_max_costless"
29,1345971,"5731e2e45b8b06000f7e3671",2,17,13,29,8,"sum_even","two_less_max_costless"
8,332459,"677d37f7c10fd4adcf8557d1",4,4,6,9,7,"unequal","normal_plus_one"
32,1292575,"671c1c699ca32031a83014e8",3,16,17,32,15,"more_than","normal_plus_two"
24,1282542,"669ff53556ef9a4ea2635e9a",3,16,15,30,15,"more_than","normal_minus_one"
26,1282523,"664504859e65eeed37cdd5ac",4,16,15,30,15,"gap_absolute","normal_plus_one"
7,334971,"63d8966cb1c8fda2f6006864",2,4,6,9,17,"gap_lower","two_less_max_costless"
27,1199406,"6571fd9d691befe21fa61d18",3,15,14,28,4,"equal","normal_minus_one"
9,665450,"6605eaefd982b606054fda4c",2,8,12,19,14,"less_upper","normal_minus_two"
21,954301,"6091b418d1cddb4526a44543",4,12,10,21,6,"coordinate_low","normal_plus_two"
20,598634,"62349f9ac56251496a619264",2,7,14,20,8,"sum_upper","normal_minus_two"
23,1175721,"6791934cb3e39094ae05692b",3,15,9,23,9,"sum_odd","two_less_max_costless"
25,1266409,"65389f0b0f181197c4218f6d",2,16,12,27,11,"gap_absolute","normal_plus_two"
16,1021372,"66d8d6590998f2fb0867d0b6",3,13,8,20,14,"gap_lower","normal"
10,826787,"663c19eed49487447a95db78",4,10,14,23,17,"coordinate_low","normal_plus_one"
20,956659,"610508c09d61c098f072605b",1,12,10,21,15,"coordinate_low","normal_plus_two"
15,842230,"65f6d8993df9f5cc02ff0a38",2,10,17,26,19,"unequal","normal"
12,494383,"6784c471d73174fe2ca2300c",3,6,8,13,12,"less_upper","normal_plus_two"
16,528770,"5f6e76757befe43b22307387",2,6,15,20,10,"gap_higher","normal_minus_two"
18,1124205,"5bc07659b8d38c0001de0516",1,14,14,27,4,"sum_even","two_less_max_costless"
25,1426960,"60d1429992c4cb380dd59b15",1,18,14,31,11,"equal","normal"
11,349578,"67f22d9adc313d0ce5eafff4",1,4,9,12,15,"equal","normal_minus_one"
16,806740,"56b10faa6399f90011da710d",3,10,10,19,18,"gap_lower","normal"
19,1095024,"667dff584b72be8e8cf6b196",2,14,8,21,8,"gap_lower","normal_minus_one"
9,427770,"6554ea58c859388bc801973c",1,5,10,14,7,"sum_even","normal_minus_one"
9,713546,"5edeea354d54cb1a825aa8f9",2,9,7,15,7,"gap_lower","normal_minus_two"
25,1337839,"67b8f459f36ac348b98d6cad",3,17,11,27,15,"sum_upper","normal_plus_two"
7,336625,"67486ef5b88595ed8d20fe7c",2,4,7,10,4,"more_than","normal_plus_two"
24,1323075,"6667669302ff5138b02e1e87",2,17,8,24,16,"less_upper","two_less_max_costless"
10,406654,"67803b5508f3d995ef13696b",2,5,6,10,3,"sum_even","normal"
21,1360360,"668335c061a6ee98717d3ffa",1,17,16,32,6,"gap_higher","normal"
10,366250,"64d53aae0f3f7317f6eb617e",4,4,13,16,2,"unequal","normal"
24,1326432,"60f2a2b4932fed5326988e0f",2,17,9,25,10,"sum_even","normal_minus_one"
10,197894,"601478ee2d7cc94b1f1855ec",4,2,9,10,10,"sum_upper","normal_minus_two"
23,1037073,"579fbb4a6f13c2000174aafc",3,13,11,23,16,"unequal","two_less_max_costless"
17,318986,"6596bea5bc9ff6083194c176",2,3,18,20,13,"unequal","normal_minus_two"
24,911082,"661d91aa5c28076a1170abb6",1,11,16,26,14,"more_than","normal_minus_one"
8,635110,"5755c957eb80c4000741a9ce",2,8,6,13,13,"coordinate_low","normal"
15,461442,"679a0366c8793f4845badfd6",1,5,17,21,2,"gap_higher","normal_minus_one"
17,1229936,"68136baa6c4d0b9838d3e0d3",3,16,5,20,6,"gap_lower","normal_minus_two"
26,698343,"5ba259603bf2350001a54284",4,8,19,26,6,"equal","two_less_max_costless"
16,943453,"672bb1963a3e366539886bfc",4,12,8,19,3,"less_upper","normal_plus_two"
13,835432,"60fe83c4f1cfa0b516b363cc",1,10,16,25,12,"sum_upper","normal"
26,838136,"66f0c33279c43367bd7542c4",3,10,17,26,3,"coordinate_low","normal_minus_two"
14,371368,"5f0f6811a0ed4a11dbc57b79",1,4,14,17,2,"coordinate_low","normal"
17,741356,"612adba08b8235b31539c704",1,9,12,20,17,"equal","normal_minus_two"
14,1103095,"67090bd057a59a104e134edf",3,14,9,22,19,"sum_even","normal_plus_two"
21,1396550,"5f467b0a0d1aef037515c8c9",4,18,8,25,10,"gap_higher","normal_minus_two"
24,619578,"6692aa06ebcc22947ead226a",1,7,18,24,12,"gap_higher","normal_minus_one"
25,762611,"60dfd857e293a99dd577f4c8",4,9,17,25,2,"less_upper","normal_plus_one"
13,568785,"65c113a22ace1dacd58ce108",3,7,8,14,9,"sum_odd","two_less_max_costless"
18,769805,"60284b049e884437b220b172",3,9,18,26,11,"gap_higher","normal_plus_one"
19,540737,"6447cbf7356408059fe225d7",1,6,17,22,17,"unequal","normal_plus_one"
20,1456573,"66e60882afb732f6e17a6790",4,19,5,23,9,"unequal","normal_plus_two"
21,1498079,"5eaa2e6821f5961b9f4d9c04",2,19,13,31,14,"sum_upper","normal_plus_one"
17,696020,"5e8f4a2abae84a22830fd5a2",1,8,18,25,16,"sum_odd","normal_minus_two"
9,354507,"66397ad24036e6a540a10423",2,4,10,13,15,"gap_lower","two_less_max_costless"
16,437416,"663e1aba0afad079dae41953",1,5,12,16,6,"gap_higher","normal"
17,794235,"5fed41e3e14422f5e308c6e5",2,10,8,17,8,"sum_odd","two_less_max_costless"
22,545599,"6658b3b6347b527af5f3bad3",3,6,18,23,16,"less_upper","normal_plus_two"
29,1370732,"67e03de86567af68e15f8b33",1,17,18,34,7,"equal","normal_minus_two"
22,1491970,"64ff8f28eb8d29f0814080fa",4,19,12,30,10,"sum_even","normal"
20,1089703,"668a9e53e7690b3b64d48e92",3,14,7,20,6,"less_upper","normal_plus_two"
16,802517,"6663ce16e93da6d9c6ce2821",3,10,10,19,2,"gap_lower","normal_plus_one"
24,1332057,"611341c34be95409850e4341",3,17,10,26,12,"less_upper","two_less_max_costless"
23,684912,"655f97cd4f1c17ae262fd0fa",2,8,16,23,12,"sum_even","normal_minus_one"
16,728735,"663d0e210e239265b07238f1",2,9,10,18,7,"sum_even","normal_plus_one"
8,195438,"66d1a34290c0181302a08f66",3,2,9,10,1,"unequal","normal_minus_one"
5,176678,"65c18c789a79785086046517",4,2,5,6,6,"equal","normal_minus_two"
22,1355125,"6510652e8c348ca500c8677c",4,17,15,31,5,"gap_absolute","normal_plus_two"
24,1209282,"666601d2d09c8744714ca8a1",1,15,16,30,3,"less_upper","normal_minus_one"
24,1491174,"5e753ccd65c9670a250a019b",3,19,12,30,7,"sum_even","normal_minus_one"
28,1488002,"665b7b047373d8da553237a6",2,19,11,29,14,"sum_even","normal_minus_two"
8,361577,"66ada6332d525af66b7b7d9a",1,4,12,15,3,"less_upper","normal_plus_one"
25,919592,"615921b85071b9caef6148d8",3,11,18,28,8,"unequal","normal_minus_two"
28,1060946,"67d8a842726644308266e91f",2,13,16,28,11,"coordinate_low","normal_minus_two"
1,104728,"67e188720841b364cd463eaa",1,1,5,5,18,"coordinate_low","normal"
18,1394125,"63614899ad49a91f1ef09067",4,18,7,24,19,"coordinate_low","normal_plus_two"
1,104728,"67e188720841b364cd463eaa",1,1,5,5,18,"coordinate_low","normal"
27,1053390,"54837312fdf99b2490ad57b6",3,13,15,27,2,"more_than","normal_minus_one"
19,1264722,"678ba962e3ab4fa50795ed97",1,16,12,27,4,"less_upper","normal_minus_one"
22,1392934,"5cf10c50968101001aee96c9",2,18,7,24,15,"unequal","normal"
14,235290,"67ac8fed510a8ad686266b4d",1,2,16,17,19,"unequal","normal_minus_one"
15,1062222,"674c9df1e01bfe1baae76974",3,13,16,28,16,"sum_upper","normal_minus_one"
17,1144760,"5aa806e7777df200016088c5",3,14,18,31,6,"equal","normal_minus_two"
27,1477315,"55bd8669fdf99b5bfc7d4cfc",1,19,9,27,12,"gap_higher","normal_plus_two"
31,1076112,"594c02b62894240001dc27b9",2,13,19,31,12,"equal","normal_minus_one"
17,942960,"57dd4c6f73e67300012b7ed6",2,12,8,19,2,"gap_lower","normal_minus_one"
21,1166228,"682b76cd7d1dde59f69b3b71",1,15,7,21,11,"sum_upper","normal_minus_two"
24,905327,"6622fea285fd4a83c402235c",2,11,15,25,11,"unequal","normal_plus_one"
7,427035,"6575c7da000442e5a54f5e24",2,5,10,14,4,"sum_upper","two_less_max_costless"
20,1307185,"66b4f89242c0ff3aab8f8774",2,17,5,21,13,"sum_odd","normal_plus_two"
32,1504162,"5dc0e5d927d0520845f47856",4,19,14,32,18,"sum_upper","normal"
21,822160,"66980b6dfb93bb2506774ca2",1,10,13,22,19,"unequal","normal"
18,590320,"644150ada063f0646fa94580",1,7,12,18,15,"more_than","normal"
14,896206,"67d5f8a62c137f9a17873486",2,11,13,23,14,"coordinate_low","normal"
17,1011122,"6632626985406fd15c206dcd",2,13,6,18,13,"gap_absolute","normal_minus_two"
31,1077540,"652359572fd30ff57dfea7fb",4,13,19,31,17,"sum_upper","normal_minus_one"
21,604710,"66297fbab9f7f80703a76793",3,7,15,21,12,"sum_upper","normal_minus_one"
7,565686,"6741748fbb313bf92b1a3fce",3,7,7,13,16,"coordinate_low","normal_minus_one"
12,162531,"545d347afdf99b7f9fca22c7",2,1,17,17,9,"less_upper","two_less_max_costless"
18,516360,"5cb128db0d14d3001838eef5",2,6,13,18,1,"gap_higher","normal_minus_one"
32,1508603,"6792c956f76b9027f9768491",4,19,15,33,16,"sum_even","normal_plus_one"
23,614670,"605e9cc770aa6d1947d02bfa",3,7,17,23,12,"unequal","normal_minus_one"
22,1332556,"5e648efca8c76520c918bb31",3,17,10,26,14,"sum_upper","normal"
13,702295,"60a1ddf39ea00700d482889e",3,9,5,13,2,"equal","normal_plus_two"
17,384239,"6425ffdf7fd742839b924ac5",2,4,16,19,13,"sum_odd","normal_plus_one"
5,101590,"664df2de088c4acb7473b3ff",2,1,5,5,7,"gap_lower","normal"
25,1486856,"5e3f04fdb721da159417a725",3,19,11,29,10,"gap_absolute","normal_minus_two"
16,235115,"5de810e3b94594000c87d36e",4,2,16,17,18,"sum_upper","normal_plus_one"
19,597336,"67e3d174cdf82fb2585cc887",2,7,14,20,3,"less_upper","normal_minus_one"
21,395268,"67e42a7bdae7875a883eead0",4,4,18,21,17,"equal","normal_minus_one"
21,676932,"5c1c2c51e2d9150001b5737e",4,8,15,22,1,"more_than","normal_minus_one"
16,442663,"6759cf4aa98832e7c32a61b3",3,5,13,17,6,"coordinate_low","normal_plus_two"
28,1068891,"66bdf79c29a4dd71ff4de0d0",2,13,18,30,4,"gap_lower","two_less_max_costless"
27,849774,"6632d54e8e0d4661a148acf9",3,10,19,28,10,"gap_lower","normal_minus_one"
17,880924,"634696400ff1ac25ed01ad11",3,11,10,20,14,"gap_lower","normal"
23,1119833,"623ac50ed58ac10f7e259b8f",1,14,13,26,7,"gap_lower","normal_plus_one"
8,302701,"6647b11c05e40e04db826ccb",4,3,15,17,8,"sum_upper","normal_plus_two"
9,483030,"66ecacaae782ea94cd9bfbd8",3,6,6,11,7,"less_upper","normal_minus_one"
13,928449,"59dc4083ae9f950001d83b4b",3,12,5,16,4,"gap_lower","two_less_max_costless"
19,876297,"660eb0b257ea5439cd5e020a",3,11,9,19,15,"unequal","two_less_max_costless"
16,937529,"675355f5119e42585a9226cf",1,12,6,17,19,"unequal","normal_plus_one"
11,713883,"67ba639b05429eebb9d8927f",2,9,7,15,8,"more_than","two_less_max_costless"
20,811585,"668b7ec2d3b6830e2063fb8d",2,10,11,20,17,"equal","normal_plus_two"
11,287358,"676c67883fa1ba4ea4eb05a7",3,3,12,14,7,"sum_odd","normal_minus_one"
16,896896,"66b91ee649636fce844ef133",1,11,13,23,17,"sum_even","normal"
16,929323,"66a56853eae42f430895b05e",1,12,5,16,7,"equal","normal_plus_two"
28,919767,"5d4a41890e604c00011ade8b",4,11,18,28,9,"gap_higher","two_less_max_costless"
20,540585,"669aab18b7f156b93c657214",3,6,17,22,16,"less_upper","two_less_max_costless"
10,801274,"5c663cd56fdc87000162e255",4,10,9,18,16,"more_than","normal"
27,1198492,"67f01fa0e63319ca919878ca",3,15,13,27,19,"coordinate_low","normal"
13,721782,"67f15936947bc55cb1f2bac4",3,9,8,16,19,"gap_absolute","normal_minus_one"
20,947775,"679327e8a39b3fcc97d882bf",4,12,9,20,1,"gap_absolute","two_less_max_costless"
14,571418,"6679d2f916fe8e0bccf073b7",2,7,8,14,19,"sum_odd","normal_minus_two"
17,1118593,"5e29cc3230cf9d03580c34bf",2,14,13,26,2,"more_than","normal_plus_two"
17,1035491,"673638b56bb65715b44b147f",4,13,11,23,10,"unequal","normal_plus_one"
13,875902,"67727321dbba1f283636b298",2,11,9,19,14,"gap_lower","normal"
19,451845,"629123291e21f234a2c06705",1,5,15,19,3,"sum_upper","two_less_max_costless"
25,844902,"663a5fa6c0dd77f659a12550",3,10,18,27,10,"sum_even","normal_minus_one"
16,510846,"55aeaeb3fdf99b5c769f1f7c",3,6,11,16,18,"gap_absolute","normal_minus_one"
12,965643,"670beb8d3c2adb17ac53ac9f",2,12,12,23,11,"coordinate_low","two_less_max_costless"
32,1446707,"631910aab5323b5658ca4a39",4,18,18,35,10,"gap_higher","normal_plus_one"
22,1187959,"67758b914f06b14a31669644",3,15,11,25,18,"gap_lower","normal_plus_two"
16,155808,"671cd612f039f8a9b5e55cca",2,1,16,16,3,"equal","normal_minus_one"
18,1079799,"632887fe29453b90ee3fb295",4,14,5,18,7,"more_than","two_less_max_costless"
10,355555,"66e12593ddd5a01785c4e288",1,4,10,13,19,"gap_lower","normal_plus_two"
9,122262,"66db0a4e5e6c580200d007d3",3,1,9,9,9,"more_than","normal_minus_one"
10,139607,"56b78f11e77ebe000cbefe79",2,1,12,12,18,"gap_lower","normal_plus_one"
16,300962,"6773dfa0391dd47ac7521b5b",2,3,15,17,2,"gap_absolute","normal_minus_two"
8,117270,"671c1871eb30c87c11b2211a",3,1,8,8,9,"equal","normal_minus_one"
20,763117,"66e6097f5c9f9a72249c139a",4,9,17,25,4,"sum_upper","normal_plus_two"
35,1519704,"58404fd8ad98e40001ce915f",2,19,18,36,1,"sum_odd","normal_minus_one"
8,695053,"60712d937752fb8780e89951",4,8,18,25,12,"coordinate_low","normal_plus_two"
14,802993,"5bd0607192f92c0001f84021",2,10,10,19,3,"less_upper","normal_plus_two"
17,1034535,"6532828b701b9dd4dd354375",4,13,11,23,6,"less_upper","two_less_max_costless"
13,170918,"65599c698363f734b0325aa2",4,1,19,19,3,"sum_even","normal_minus_two"
21,1510733,"58014df907d709000141b54f",3,19,16,34,5,"sum_odd","normal_plus_one"
8,195730,"5eeaa000fc53c11be14cfc62",4,2,9,10,2,"sum_even","normal"
19,1481503,"6413bde82572af834c41ba64",3,19,10,28,8,"coordinate_low","normal_plus_two"
16,225769,"610c5b0a0f713891f0d5af7f",2,2,15,16,2,"equal","normal_plus_two"
10,419706,"5faefcc22be93b11829e84df",1,5,8,12,15,"gap_lower","normal_minus_one"
12,870816,"611a84cad4328e2779125bdd",2,11,8,18,13,"sum_upper","normal_minus_one"
22,1150460,"60675b278929f00a78c91c3f",1,14,19,32,9,"gap_lower","normal_minus_two"
27,1197912,"66ab955e70fbb4f16f2ae0ec",2,15,13,27,17,"sum_upper","normal_minus_one"
33,1437644,"6527f153bea7b2d7c0d556e4",1,18,16,33,13,"less_upper","normal_minus_two"
15,646968,"59b7cbab110131000146620b",2,8,9,16,1,"less_upper","normal_minus_one"
25,904257,"62c35e9517e15b36b957a678",3,11,15,25,7,"equal","two_less_max_costless"
19,881079,"6527f153bea7b2d7c0d556e4",4,11,10,20,14,"sum_even","two_less_max_costless"
20,1112448,"6732ca9052a3b5780ec6068a",2,14,11,24,17,"gap_lower","normal_minus_one"
12,418569,"64226a9ac7739618beeee60d",3,5,8,12,10,"sum_odd","two_less_max_costless"
28,922131,"674b46b00690584bddd6e33b",2,11,18,28,18,"gap_higher","two_less_max_costless"
19,549848,"6554d04c73158a94d70192dd",3,6,19,24,13,"coordinate_low","normal_minus_two"
10,559889,"6238b95932e705108020765a",1,7,6,12,14,"gap_lower","normal_plus_one"
25,911417,"5f5967d6e280e61b2db8e55c",1,11,16,26,15,"sum_even","normal_plus_one"
22,960005,"663e3de642bf6f8f82b07794",3,12,11,22,9,"sum_even","normal_plus_one"
7,182934,"67acb833bf3961201ed866d3",3,2,6,7,11,"gap_higher","normal_minus_one"
8,412389,"6480bdf6d433e2e158870605",1,5,7,11,6,"more_than","two_less_max_costless"
27,1266409,"5c0b388b9c7b1100015ab55f",2,16,12,27,11,"gap_absolute","normal_plus_two"
10,210679,"670181df01d5807d3bca5093",3,2,12,13,2,"gap_absolute","normal_plus_two"
20,1456573,"5d02e8a7c087120001942ae7",4,19,5,23,9,"unequal","normal_plus_two"
19,892859,"63cedafa29d08471b828a96a",4,11,13,23,2,"gap_absolute","normal_plus_one"
6,339271,"680c9ce28ed46a864a300a0a",3,4,7,10,14,"more_than","normal_plus_two"
16,931299,"670fdd67d95e13ea091a43b0",2,12,5,16,14,"less_upper","two_less_max_costless"
22,537863,"5eb931ff273a56000b17b65c",2,6,17,22,6,"sum_even","normal_plus_one"
16,740004,"682b8071ffc2da7edd49f10c",4,9,12,20,12,"gap_absolute","normal_minus_one"
12,663140,"66b2601dc55a5c978d9c0ce7",1,8,12,19,6,"gap_higher","normal_minus_two"
21,984204,"5ec62902bb44c16b842128f9",4,12,16,27,6,"gap_absolute","normal_minus_one"
6,330814,"67ad12becac3e4abb99c57b0",2,4,6,9,1,"more_than","normal"
9,665450,"6595d5e0e40533319c0188c2",2,8,12,19,14,"less_upper","normal_minus_two"
